,city,hotel_name,people_number,days_number,price,staff,amenities,cleanliness,comfort,value_for_money,location,free_wifi,average_opinion
1630,Gdańsk,Blue Mandarin Garden Gates,2,7,1239.0,9.1,8.9,9.0,8.9,8.9,9.7,8.9,8.1
1631,Gdańsk,Hotel Arkon Park Business & Sport,2,7,1710.0,9.2,8.9,9.2,9.1,8.7,8.5,8.9,9.0
1632,Gdańsk,Old Town - River Point by Welcome Apartment,2,7,2792.0,9.4,9.2,9.1,9.2,8.7,9.7,9.1,8.8
1633,Gdańsk,Flatbook - City Center Apartments Chlebova with Gym,2,14,2169.0,8.5,8.9,9.2,9.3,8.8,9.1,9.5,9.0
1634,Gdańsk,Hilton Gdansk,2,14,7551.0,9.1,8.8,9.2,9.2,8.3,9.7,8.5,8.8
1635,Gdańsk,Nova Motlava Old Town Apartment,2,14,5019.0,9.9,9.5,9.7,9.5,9.4,9.7,10.0,10.0
1636,Gdańsk,Ośrodek Wczasowy Bursztyn,2,14,4866.0,8.6,7.6,7.7,7.6,7.5,9.3,,9.4
1637,Gdańsk,Amber House,2,14,2800.0,8.5,7.7,7.6,7.5,7.9,9.6,8.0,7.9
1638,Gdańsk,MustSEA Gdańsk Apartments with underground parking,2,14,3455.0,9.6,9.3,9.3,9.2,9.1,9.2,9.3,7.8
1639,Gdańsk,Apartamenty Chleb i Wino,2,14,4167.0,9.5,9.0,9.3,9.3,9.1,9.8,9.4,9.3
1640,Gdańsk,Bielski Guesthouse,2,14,3160.0,9.1,8.3,8.6,8.4,8.7,9.7,9.2,9.2
1641,Gdańsk,Forsycja,2,14,2220.0,9.3,8.9,9.4,8.9,9.2,9.0,8.6,8.5
1642,Gdańsk,Rent like home - Tartaczna 2,2,14,1908.0,8.8,7.5,7.5,6.3,7.5,10.0,,9.0
1643,Gdańsk,hostel52,2,14,1935.0,9.1,8.6,9.0,8.5,8.6,8.1,9.8,7.5
1644,Gdańsk,Citrus Room,2,14,1034.0,9.2,9.2,9.2,9.2,9.2,9.2,,8.6
1645,Gdańsk,Albatross Towers Apartment Gdańsk Przymorze by Renters,2,14,2621.0,9.0,8.5,9.0,9.5,9.0,9.0,,9.2
1646,Gdańsk,Apartament Jabłońskiego,2,14,1619.0,9.4,9.5,9.6,9.3,9.6,9.1,,9.4
1647,Gdańsk,Bigly Room,2,14,879.0,7.5,7.5,7.5,7.5,7.5,10.0,,9.2
1648,Gdańsk,Tiger Room,2,14,1198.0,10.0,10.0,10.0,10.0,10.0,10.0,,8.0
1649,Gdańsk,Dolce Vita Room,2,14,807.0,6.7,5.0,5.8,5.0,5.8,9.2,,10.0
1650,Gdańsk,Apartament Baltica Cozy TriApart,2,14,2863.0,10.0,7.5,7.5,10.0,7.5,10.0,,5.3
1651,Gdańsk,Old Town Apartment Garncarska by Renters,2,14,2733.0,9.1,8.4,9.1,9.1,8.4,9.7,,9.0
1652,Gdańsk,Stadion Apartment with Parking by Renters,2,14,2685.0,8.2,8.6,7.9,7.1,7.5,8.2,,8.8
1653,Gdańsk,Bubble Room,2,14,1085.0,7.8,8.4,8.8,8.8,8.8,8.4,,7.6
1654,Gdańsk,Royal Gdansk,7,1,508.0,9.0,8.2,8.6,8.4,8.3,7.8,8.5,8.2
1655,Gdańsk,Hostel Przy Targu Rybnym,7,1,320.0,8.0,6.7,7.2,6.7,7.4,9.3,6.4,6.8
1656,Gdańsk,Dom w sercu Gdańska,7,1,2272.0,9.5,8.6,9.5,9.1,9.1,8.6,,9.2
1657,Gdańsk,My Old Town Gdańsk - Apartament dwupoziomowy Długa 56,7,1,922.0,9.1,8.2,7.8,7.9,8.4,9.7,8.0,8.4
1658,Gdańsk,"Apartament 2 pokoje w Gdańsku blisko morza 900 metrów, 1km do Sopotu Apartment 2 rooms nearby the sea 900 meters",7,1,450.0,8.4,7.5,7.1,7.5,7.4,8.4,,7.3
1659,Gdańsk,Apartament Gdańsk Starówka dla 9 osób!!!,7,1,326.0,9.2,9.1,8.9,8.8,9.2,9.5,7.5,9.1
1660,Gdańsk,Old Town Piwna,7,1,790.0,10.0,10.0,10.0,10.0,10.0,10.0,,10.0
1661,Gdańsk,Strzelecka Old Town Apartment,7,1,383.0,9.7,9.6,9.4,9.6,9.8,9.5,9.4,9.5
1662,Gdańsk,Central Apartments Gdansk&Kotw21,7,1,366.0,7.9,6.4,6.8,6.8,8.6,10.0,,7.0
1663,Gdańsk,Apartament Ten,7,1,780.0,8.1,8.0,7.7,7.9,8.7,9.7,8.3,8.2
1664,Gdańsk,Central Apartments Sz7-66,7,1,506.0,6.5,6.5,6.0,6.5,6.2,8.7,7.5,6.6
1665,Gdańsk,Rezydencja Wind Rose - luxury ApartHotel Gdansk,7,1,850.0,9.1,9.1,9.0,8.9,8.8,8.6,7.9,9.0
1666,Gdańsk,Apartament 2 pokoje blisko morza 1000 metrów w Gdańsku,7,1,486.0,7.8,7.2,7.5,7.0,7.5,8.6,10.0,7.1
1667,Gdańsk,dwa osobne pokoje 38m2 z pięknym widokiem Gdańsk aleja Rzeczypospolitej blisko morza,7,1,417.0,8.3,7.5,7.5,6.7,7.5,8.3,,7.7
1668,Gdańsk,Villa Pica Paca - Old Town,7,1,1207.0,8.7,7.5,7.9,7.7,7.9,9.6,7.1,7.8
1669,Gdańsk,Folks Village Plowce House,7,1,1276.0,7.4,6.7,6.7,6.2,6.5,7.6,7.5,6.3
1670,Gdańsk,Fama Residence Gdańsk Old Town,7,1,699.0,9.6,9.1,9.4,9.2,9.2,9.8,9.0,9.2
1671,Gdańsk,Pokoje Gościnne Via Steso,7,1,390.0,8.8,7.3,7.8,7.4,7.9,8.1,8.6,7.5
1672,Gdańsk,MONTOWNIA Lofts & Experience,7,1,1548.0,9.5,9.6,9.8,9.8,9.4,9.3,9.4,9.7
1673,Gdańsk,Abak,7,1,487.0,9.2,8.5,8.8,8.5,8.8,8.5,8.3,8.6
1674,Gdańsk,Villa Anna,7,1,718.0,9.4,8.8,9.4,9.1,8.7,8.7,8.9,8.9
1675,Gdańsk,Bi-Pi Hostel,7,1,358.0,8.7,7.6,7.8,7.5,8.4,9.6,7.6,7.8
1676,Gdańsk,Gdański Dom Turystyczny Hostel,7,1,362.0,8.6,6.9,7.8,7.2,7.8,6.5,7.9,7.2
1677,Gdańsk,Loft Apartments,7,1,523.0,8.9,8.9,9.1,9.0,8.9,9.4,9.1,8.8
1678,Gdańsk,Patio Apartments - Old Town,7,1,1490.0,9.4,9.3,9.4,9.3,8.8,9.9,9.4,9.2
1679,Gdańsk,Dom w sercu Gdańska,7,2,2145.0,9.5,8.6,9.5,9.1,9.1,8.6,,9.2
1680,Gdańsk,"Sailor Apartment by Marina Old Town for 8 people, free parking!",7,2,344.0,8.4,8.0,8.9,8.0,8.6,8.9,,8.1
1681,Gdańsk,Staywin Prime Apartments Chmielna,7,2,1475.0,8.0,8.4,8.5,8.5,8.5,9.5,7.9,8.4
1682,Gdańsk,Apartament nad morzem - Brzeźno,7,2,483.0,9.5,9.4,9.4,9.1,9.2,9.4,9.2,9.2
1683,Gdańsk,Blue Mandarin Solidarity Square,7,2,679.0,8.7,8.5,8.6,8.5,8.9,8.9,6.3,8.5
